Full Auction title,"Is it ""no reserve""",Year,Make,Model Family,Model identifier,Era,Origin,Category,Number of comments,Seller,Private party or dealer,Ext. Color Group,Int. Color Group,Buyer,Odometer,Miles of kilometers,Location,Chassis/VIN,Status,Value,Auction end day,Auction end month,Auction end day number,Auction end time,Auction end year,Number of bids,Auction URL,Number of views,Watchers
25k-Mile 1987 Mercedes-Benz 560SL,N,1987,Mercedes-Benz,Mercedes-Benz R107 SL,"r107, sl",1980s,German,Convertibles,23,NatalieR https://bringatrailer.com/member/natalier/,Private Party,,Red,,25k,Miles,"Murphy, Missouri 63026",WDBBA48D8HA062674,Not Sold,"$31,750",Thursday,June,8,11:51pm,2023,7,https://bringatrailer.com/listing/1987-mercedes-benz-560sl-367/,"3,117",440
2014 Mercedes-Benz E350 Cabriolet,N,2014,Mercedes-Benz,Mercedes-Benz W212 E-Class,,2010s,German,Convertibles,17,Avpiv516 https://bringatrailer.com/member/avpiv516/,Private Party,Gray,Gray,,28k,Miles,"Las Vegas, Nevada 89129",WDDKK5KFXEF265018,Not Sold,"$25,000",Thursday,June,8,11:43pm,2023,8,https://bringatrailer.com/listing/2014-mercedes-benz-e350-convertible/,"2,652",288
2005 Cadillac XLR,N,2005,Cadillac,Cadillac XLR,,2000s,American,Convertibles,18,classicdotcom https://bringatrailer.com/member/classicdotcom/,Private Party,,,,64k,Miles,"Lehigh Acres, Florida 33936",1G6YV34A455604091,Not Sold,"$17,100",Thursday,June,8,11:29pm,2023,15,https://bringatrailer.com/listing/2005-cadillac-xlr-25/,"4,336",484
2014 Bentley Continental GTC Speed,N,2014,Bentley,Bentley Continental GT,,2010s,British,Convertibles,26,akpcm https://bringatrailer.com/member/akpcm/,Dealer,,,Gears5911 https://bringatrailer.com/member/gears5911/,40k,Miles,"Costa Mesa, California 92627",SCBGC3ZA1EC090643,Sold,"$78,000",Thursday,June,8,11:19pm,2023,35,https://bringatrailer.com/listing/2014-bentley-continental-gtc-speed-3/,"5,675",697
1973 Triumph TR6,Y,1973,Triumph,Triumph TR6,,1970s,British,Convertibles,56,nsavaria https://bringatrailer.com/member/nsavaria/,Private Party,,Red,911slantnt https://bringatrailer.com/member/911slantnt/,55k,Miles,"Greer, South Carolina 29650",CF7487U,Sold,"$15,750",Thursday,June,8,11:14pm,2023,23,https://bringatrailer.com/listing/1973-triumph-tr6-99/,"12,920","1,128"
32k-Mile 2006 Mercedes-Benz SL500,N,2006,Mercedes-Benz,Mercedes-Benz R230 SL,"r230, sl",2000s,German,Convertibles,19,JamesOhle https://bringatrailer.com/member/jamesohle/,Dealer,Silver,Beige,stevdal7 https://bringatrailer.com/member/stevdal7/,32k,Miles,"Littleton, Colorado 80120",WDBSK75F46F113270,Sold,"$30,000",Thursday,June,8,11:12pm,2023,21,https://bringatrailer.com/listing/32k-mile-2006-mercedes-benz-sl500/,"3,465",464
1959 Triumph TR3A,N,1959,Triumph,Triumph TR3,"tr3, tr3 a, tr3-a",1950s,British,Convertibles,55,6ft8tall https://bringatrailer.com/member/6ft8tall/,Dealer,Red,Black,,550,Miles,"Mesa, Arizona 85208",TS43424L,Not Sold,"$22,000",Thursday,June,8,11:03pm,2023,15,https://bringatrailer.com/listing/1959-triumph-tr3a-53/,"6,773",783
1962 Chevrolet Corvette 4-Speed,N,1962,Chevrolet,Chevrolet Corvette C1,c1,1960s,American,Convertibles,10,Edmond2023 https://bringatrailer.com/member/edmond2023/,Private Party,Red,,,6k,Miles,"Edmond, Oklahoma 73003",20867S110502,Not Sold,"$59,000",Thursday,June,8,10:57pm,2023,13,https://bringatrailer.com/listing/1962-chevrolet-corvette-212/,"5,446",728
2008 BMW 650i Convertible 6-Speed,N,2008,BMW,BMW E63/E64 6-Series,,2000s,German,Convertibles,31,ammpasha https://bringatrailer.com/member/ammpasha/,Private Party,Gray,,RoofRoof2 https://bringatrailer.com/member/roofroof2/,9k,Miles,"Morgan Hill, California 95037",WBAEB53538CX58099,Sold,"$28,250",Thursday,June,8,10:45pm,2023,30,https://bringatrailer.com/listing/2008-bmw-650i-convertible-25/,"3,101",413
5k-Mile 2007 Pontiac Solstice GXP,N,2007,Pontiac,Pontiac Solstice,,2000s,American,Convertibles,20,GCCRoland https://bringatrailer.com/member/gccroland/,Dealer,,Red,,5k,Miles,"Houston, Texas 77090",1G2MG35X07Y141851,Not Sold,"$18,000",Thursday,June,8,9:59pm,2023,23,https://bringatrailer.com/listing/2007-pontiac-solstice-26/,"3,541",371
