Full Auction title,"Is it ""no reserve""",Year,Make,Model Family,Model identifier,Era,Origin,Category,Number of comments,Seller,Private party or dealer,Ext. Color Group,Int. Color Group,Buyer,Odometer,Miles of kilometers,Location,Chassis/VIN,Status,Value,Auction end day,Auction end month,Auction end day number,Auction end time,Auction end year,Number of bids,Auction URL,Number of views,Watchers
11k-Mile 2005 Mercedes-Benz SL500,Y,2005,Mercedes-Benz,Mercedes-Benz R230 SL,"r230, sl",2000s,German,Convertibles,24,idigmywork https://bringatrailer.com/member/idigmywork/,Private Party,White,,Paullex123 https://bringatrailer.com/member/paullex123/,11k,Miles,"Boxford, Massachusetts 01921",WDBSK75F55F106780,Sold,"$21,750",Monday,June,5,11:09pm,2023,22,https://bringatrailer.com/listing/2005-mercedes-benz-sl500-115/,"5,775",755
18k-Mile 2002 Ferrari 360 Spider,N,2002,Ferrari,Ferrari 360,,2000s,Italian,Convertibles,38,Mark360 https://bringatrailer.com/member/mark360/,Private Party,,,Reddaisy https://bringatrailer.com/member/reddaisy/,18k,Miles,"Campbell, California 95008",ZFFYT53A520130016,Sold,"$95,000",Monday,June,5,11:01pm,2023,45,https://bringatrailer.com/listing/2002-ferrari-360-spider-34/,"6,426",831
6k-Mile 2005 BMW 645Ci Convertible,N,2005,BMW,BMW E63/E64 6-Series,,2000s,German,Convertibles,12,ArizonaCarGuy https://bringatrailer.com/member/arizonacarguy/,Private Party,Silver,Beige,Shahpour https://bringatrailer.com/member/shahpour/,6K,Miles,"Phoenix, Arizona 85048",WBAEK73405B326459,Sold,"$20,000",Monday,June,5,11:01pm,2023,21,https://bringatrailer.com/listing/2005-bmw-645ci-convertible-30/,"3,300",331
Roush 427IR-Powered Superformance MkIII Roadster,N,,Shelby,Shelby Cobra Replica,,1960s,American,Convertibles,42,Jamcarsale https://bringatrailer.com/member/jamcarsale/,Private Party,,,,679,Miles,"Miami, Florida 33149",NCS99406,Not Sold,"$91,000",Monday,June,5,11:00pm,2023,21,https://bringatrailer.com/listing/superformance-mkiii-roadster/,"10,361",961
7k-Mile 2005 Dodge Viper Mamba Edition,N,2005,Dodge,Dodge Viper ZB I (2003-2006),,2000s,American,Convertibles,24,KICKINGTIRES https://bringatrailer.com/member/kickingtires/,Private Party,,,Brod https://bringatrailer.com/member/brod/,#22,of,"Marco Island, Florida 34145",1B3JZ65Z65V500910,Sold,"$71,000",Monday,June,5,10:51pm,2023,25,https://bringatrailer.com/listing/2005-dodge-viper-srt-10-roadster-15/,"11,401",857
1960 MG MGA 1600 Roadster 5-Speed,N,1960 1600,MG,MG MGA,,1960s,British,Convertibles,33,LRoman79 https://bringatrailer.com/member/lroman79/,Private Party,Red,Gray,Britcargeek https://bringatrailer.com/member/britcargeek/,9k,Miles,"Yucaipa, California 92399",GHNL70133,Sold,"$21,250",Monday,June,5,10:33pm,2023,31,https://bringatrailer.com/listing/1960-mg-mga-1600-13/,"6,097",697
1963 Austin-Healey 3000 BJ7 Mk II,Y,1963 3000,Austin-Healey,Austin-Healey 3000,,1960s,British,Convertibles,38,Lulu https://bringatrailer.com/member/lulu/,Dealer,Beige,Tan,cshah01 https://bringatrailer.com/member/cshah01/,14k,Miles,"Saint Louis, Missouri 63141",HBJ7L21361,Sold,"$25,250",Monday,June,5,10:21pm,2023,22,https://bringatrailer.com/listing/1963-austin-healey-3000-mk-ii-2-2/,"8,206",761
35k-Mile 2013 Porsche 911 Carrera S Cabriolet,Y,2013,Porsche,Porsche 991 911 (Non-Turbo/GT2/GT3),,2010s,German,Convertibles,41,biggie1739 https://bringatrailer.com/member/biggie1739/,Private Party,,White,hunteroliver https://bringatrailer.com/member/hunteroliver/,35K,Miles,"West Hollywood, California 90046",WP0CB2A94DS156598,Sold,"$70,991",Monday,June,5,10:06pm,2023,39,https://bringatrailer.com/listing/2013-porsche-911-carrera-s-cabriolet-19/,"9,259","1,021"
2004 BMW 330Ci ZHP Convertible,Y,2004,BMW,BMW E46 330 ZHP,,2000s,German,Convertibles,29,MeatKing https://bringatrailer.com/member/meatking/,Private Party,Silver Gray,Gray,2jim https://bringatrailer.com/member/2jim/,68k,Miles,"Phoenix, Maryland 21131",WBABW53424PL47567,Sold,"$13,000",Monday,June,5,9:52pm,2023,22,https://bringatrailer.com/listing/2004-bmw-330ci-zhp-convertible-6/,"5,311",453
14k-Mile 2001 BMW Z3 3.0i 5-Speed,Y,2001,BMW,BMW Z3,,2000s,German,Convertibles,35,bouldercars https://bringatrailer.com/member/bouldercars/,Private Party,Red,Black,shanfam https://bringatrailer.com/member/shanfam/,14k,Miles,"Longmont, Colorado 80501",WBACN53421LJ55303,Sold,"$17,250",Monday,June,5,9:46pm,2023,3,https://bringatrailer.com/listing/2001-bmw-z3-68/,"4,106",399
2020 Mercedes-AMG GT R Roadster,N,2020,Mercedes-Benz,Mercedes-Benz AMG,,elMercedes-Benz AMG GT,0s,Convertibles,57,Askyosi https://bringatrailer.com/member/askyosi/,Private Party,,Black,nhenwood https://bringatrailer.com/member/nhenwood/,"3,700",Miles,"Miami Beach, Florida 33141",WDDYK7KA1LA028678,Sold,"$209,123",Monday,June,5,9:44pm,2023,66,https://bringatrailer.com/listing/2020-mercedes-amg-gt-r-roadster/,"11,622",854
1965 Datsun 1500 Roadster Project,Y,1965 1500,Datsun,Datsun Roadster,,1960s,Japanese,Convertibles,25,Thompson-Restorations https://bringatrailer.com/member/thompson-restorations/,Private Party,,Red,justanotherhobby https://bringatrailer.com/member/justanotherhobby/,Running,Project,"Dublin, Pennsylvania 18917",SPL31010190,Sold,"$4,500",Monday,June,5,9:30pm,2023,24,https://bringatrailer.com/listing/1965-datsun-1500-roadster-4-2/,"6,173",426
Turbocharged 1974 Volkswagen Super Beetle Cabriolet,N,1974,Volkswagen,Volkswagen Beetle,vw,1970s,German,Convertibles,46,1badassdubs https://bringatrailer.com/member/1badassdubs/,Private Party,,,pocomo https://bringatrailer.com/member/pocomo/,31k,Miles,"Monroe, Washington 98272",1542510695,Sold,"$20,027",Monday,June,5,8:53pm,2023,44,https://bringatrailer.com/listing/1974-volkswagen-super-beetle-cabriolet-13/,"9,183",663
1955 Ford Thunderbird,N,1955,Ford,Ford Thunderbird (1955-1957),,1950s,American,Convertibles,23,cascadia https://bringatrailer.com/member/cascadia/,Dealer,Black,Black White,TulsaRP https://bringatrailer.com/member/tulsarp/,41k,Miles,"Portland, Oregon 97218",P5FH249195,Sold,"$49,000",Monday,June,5,8:29pm,2023,26,https://bringatrailer.com/listing/1955-ford-thunderbird-130/,"8,336",881
27k-Mile 2007 Pontiac Solstice GXP 5-Speed,N,2007,Pontiac,Pontiac Solstice,,2000s,American,Convertibles,48,ss1591 https://bringatrailer.com/member/ss1591/,Private Party,,Yellow,scannon https://bringatrailer.com/member/scannon/,27k,Miles,"Denver, Colorado 80230",1G2MG35X37Y135977,Sold,"$23,500",Monday,June,5,8:10pm,2023,7,https://bringatrailer.com/listing/2007-pontiac-solstice-gxp-30/,"11,008",578
2001 Porsche 911 Carrera 4 Cabriolet 6-Speed,N,2001,Porsche,Porsche 996 911 (Non-Turbo/GT2/GT3),996,2000s,German,Convertibles,27,battybug https://bringatrailer.com/member/battybug/,Dealer,Black,Black,LGM-2023 https://bringatrailer.com/member/lgm-2023/,53k,Miles,"Quarryville, Pennsylvania 17566",WP0CA29941S654383,Sold,"$35,000",Monday,June,5,8:03pm,2023,14,https://bringatrailer.com/listing/2001-porsche-911-carrera-4-cabriolet-37/,"5,845",617
