Full Auction title,Is Owned,Is it 'no reserve',Year,Make,Model Family,Model Identifier,Era,Origin,Category,Number Of Comments,Seller,Private Party Or Dealer,Ext. Color Group,Int. Color Group,Buyer,Odometer,Miles Of Kilometers,Location,Chassis/VIN,Status,Value,Auction End Day,Auction End Month,Auction End Day Number,Auction End Time,Number Of Bids,Auction URL,Number Of Views,Watchers,Color Description
1994 Porsche 911 RS America Track Car,No,No,1994,Porsche,Porsche 911 RS America,964,1990s,German,Race Cars,57,Workshop5001 (https://bringatrailer.com/member/workshop5001/) ,Dealer,White,Black,cap10danny (https://bringatrailer.com/member/cap10danny/) ,33k,Miles,"Los Angeles, California 90016",WP0AB2962RS419082,Sold,"$86,911",Tuesday,June,20,11:26am,25,https://bringatrailer.com/listing/1994-porsche-911-rs-america-9/,"16,041","1,267","White Paint, Black Upholstery"
1995 Van Diemen RF95 Formula Continental Race Car,No,No,1995,"","","",1990s,British,Race Cars,67,SpeedC4S (https://bringatrailer.com/member/speedc4s/) ,Private Party,White,,Dankhunt7261 (https://bringatrailer.com/member/dankhunt7261/) ,Unknown,Unknown,"Marietta, Georgia 30060",2077,Sold,"$13,200",Monday,June,19,1:21pm,23,https://bringatrailer.com/listing/1995-van-diemen-rf95/,"7,996",526,"Red, White, & Blue Fiberglass Bodywork"
31-Years-Owned MG MGB Race Car,Yes,No,,MG,MG MGB,mgmg b,1970s,British,Race Cars,68,barryperkins (https://bringatrailer.com/member/barryperkins/) ,Private Party,White,,Art14 (https://bringatrailer.com/member/art14/) ,Unknown,Unknown,"Lenoir City, Tennessee 37771",,Sold,"$19,500",Sunday,June,18,3:07pm,25,https://bringatrailer.com/listing/mgb-race-car/,"8,714",502,Off-White Paintwork
355-Powered Sprint Car,No,No,,"","","",1960s,American,Race Cars,44,LukAutoGroup (https://bringatrailer.com/member/lukautogroup/) ,Dealer,Red,Tan,DrNascar (https://bringatrailer.com/member/drnascar/) ,Unknown,Unknown,"Lauderhill, Florida 33312",N/A,Sold,"$9,000",Saturday,June,17,2:48pm,5,https://bringatrailer.com/listing/355-powered-sprint-car/,"4,823",308,"Red Bodywork, Tan Vinyl Upholstery"
1963 Chevrolet Impala Z11,No,No,1963,Chevrolet,Chevrolet Impala,"",1960s,American,Race Cars,123,4HuntingCars (https://bringatrailer.com/member/4huntingcars/) ,Dealer,Red,Red,,Three,Miles,"Jackson Township, New Jersey 08527",31847F167525,Not Sold,"Bid to $298,000",Saturday,June,17,11:11am,33,https://bringatrailer.com/listing/1963-chevrolet-impala-z11/,"33,767","1,455","Ember Red Paint, Red Cloth Upholstery"
2021 Radical SR10,No,No,2021,Radical,"","",2020s,British,Race Cars,40,BD1989 (https://bringatrailer.com/member/bd1989/) ,Private Party,Blue,Black,steelsails (https://bringatrailer.com/member/steelsails/) ,,,"Shorewood, Illinois 60436",SR1000011,Sold,"$83,000",Friday,June,16,1:09pm,22,https://bringatrailer.com/listing/2021-radical-sr10-3/,"13,344",763,"Blue & Gray Vinyl Wrap w/Graphics, Black Vinyl Upholstery"
2009 Dodge Challenger R/T 392 Drag Pak,No,No,2009,Dodge,Dodge Challenger,"",2000s,American,Race Cars,25,Landlords1 (https://bringatrailer.com/member/landlords1/) ,Private Party,White,Black,,,,"Richmond, Virginia 23237",2009011,Not Sold,"Bid to $50,500",Thursday,June,15,3:55pm,56,https://bringatrailer.com/listing/2009-dodge-challenger-46/,"6,230",568,"Stone White Paint, Black Upholstery"
1987 Volkswagen Jetta Wolfsburg Edition Coupe Track Car,No,Yes,1987,Volkswagen,Volkswagen Jetta,"",1980s,German,Race Cars,34,Polrobus (https://bringatrailer.com/member/polrobus/) ,Private Party,White,Black,AG3266 (https://bringatrailer.com/member/ag3266/) ,,,"Belgrade, Montana 59714",WVWCB0160HW714505,Sold,"$13,000",Thursday,June,15,11:43am,18,https://bringatrailer.com/listing/1987-volkswagen-jetta-coupe-wolfsburg-edition/,"6,381",288,"Alpine White Paint, Black Cloth Upholstery"
Lotus 23B,No,Yes,,Lotus,"","",1960s,British,Race Cars,85,FantasyJunction (https://bringatrailer.com/member/fantasyjunction/) ,Dealer,Yellow,Black,7Racer7 (https://bringatrailer.com/member/7racer7/) ,Unknown,Unknown,"Emeryville, California 94608",64/206,Sold,"$79,000",Thursday,June,15,11:41am,38,https://bringatrailer.com/listing/1963-lotus-23b-3/,"13,256",945,"Blue/Yellow Livery, Single Seat Upholstered in Black, Yellow Wobbly-Web Wheels"
331-Powered 1964 Chevrolet Corvette Race Car,No,No,1964,Chevrolet,Chevrolet Corvette C2,c2,1960s,American,Race Cars,69,911r (https://bringatrailer.com/member/911r/) ,Dealer,Yellow,,,Unknown,Unknown,"Scottsdale, Arizona 85255",6-016,Not Sold,"Bid to $53,500",Wednesday,June,14,4:20pm,31,https://bringatrailer.com/listing/1964-chevrolet-corvette-143/,"10,976",914,Blue & Yellow Livery
2002 Ginetta G20 Track Car w/Trailer,No,No,2002,Ginetta,"","",2000s,British,Race Cars,43,SMartini (https://bringatrailer.com/member/smartini/) ,Private Party,Yellow,,,Unknown,Unknown,"Las Vegas, Nevada 89134",SA3CXPG202N030037,Not Sold,"Bid to $8,800",Monday,June,12,1:05pm,38,https://bringatrailer.com/listing/2002-ginetta-g20-3/,"6,416",419,Yellow Bodywork
Altfater-Built Sprint Car,No,Yes,,"","","",1970s,American,Race Cars,14,aribeau (https://bringatrailer.com/member/aribeau/) ,Dealer,Orange,Black,DesertHermit (https://bringatrailer.com/member/deserthermit/) ,,,"Tucson, Arizona 85716",,Sold,"$7,600",Saturday,June,10,12:32pm,5,https://bringatrailer.com/listing/1976-altfater-sprint-car-sprint-car/,"4,445",211,"Orange Paint w/ #88 Livery, Black Vinyl Bucket Seat"
Ford Fusion NASCAR Race Car,No,No,,Ford,"","",2010s,American,Race Cars,44,Thepartsplug225 (https://bringatrailer.com/member/thepartsplug225/) ,Private Party,Silver,,,Unknown,Unknown,"Denham Springs, Louisiana 70706",SP26255LA,Not Sold,"Bid to $35,250",Saturday,June,10,11:25am,16,https://bringatrailer.com/listing/ford-fusion-nascar-race-car/,"7,194",303,"White, Black, Blue, & Silver Nationwide Livery"
2020 Porsche 718 Cayman GT4 Clubsport Trackday MR,No,No,2020,Porsche,Porsche Cayman GT4,"",2020s,German,Race Cars,43,IsringhausenMotorsports (https://bringatrailer.com/member/isringhausenmotorsports/) ,Dealer,White,,dkho63 (https://bringatrailer.com/member/dkho63/) ,222,Kilometers,"Springfield, Illinois 62701",WP0ZZZ98ZLK299799,Sold,"$240,000",Friday,June,9,12:23pm,37,https://bringatrailer.com/listing/2020-porsche-718-cayman-gt4-clubsport-trackday-mr/,"12,758",986,White & Gray Livery
1967 Porsche 910,No,No,1967,Porsche,"","",1960s,German,Race Cars,320,roadscholars1 (https://bringatrailer.com/member/roadscholars1/) ,Dealer,White,Red,llmcars (https://bringatrailer.com/member/llmcars/) ,Unknown,Unknown,"East Durham, North Carolina 27703",910-022,Sold,"$2,500,000",Thursday,June,8,11:27am,42,https://bringatrailer.com/listing/1967-porsche-910-3/,"90,686","4,429","Grand Prix White Paint, Red Upholstery"
1994 Porsche 968 Coupe 6-Speed Track Car,No,No,1994,Porsche,Porsche 968,"",1990s,German,Race Cars,39,chadhk (https://bringatrailer.com/member/chadhk/) ,Private Party,White,,,95k,Miles,"Yamhill, Oregon 97148",WP0AA2967RS820632,Not Sold,"Bid to $14,218",Wednesday,June,7,12:43pm,20,https://bringatrailer.com/listing/1994-porsche-968-coupe-9/,"5,030",394,"Grand Prix White Paint, Black Upholstery"
2015 Mercedes-Benz C200 Coupe Track Car,No,No,2015,Mercedes-Benz,Mercedes-Benz W204 C-Class,"",2010s,German,Race Cars,30,LukAutoGroup (https://bringatrailer.com/member/lukautogroup/) ,Dealer,Black,,Dankhunt7261 (https://bringatrailer.com/member/dankhunt7261/) ,,,"Lauderhill, Florida 33312",WDDGJ4JB2FG379074,Sold,"$25,000",Tuesday,June,6,3:31pm,3,https://bringatrailer.com/listing/mercedes-benz-c200-coupe-track-car/,"6,064",303,Black & Gold Vinyl Wrap
K24-Powered 1996 Mazda MX-5 Miata Track Car,No,No,1996,Mazda,Mazda NA MX-5 Miata,eunosmx-5mx5nana miata,1990s,Japanese,Race Cars,77,Stevefir (https://bringatrailer.com/member/stevefir/) ,Private Party,Blue,,Jonnybravo (https://bringatrailer.com/member/jonnybravo/) ,178k,Chassis,"Playa Vista, California 90094",JM1NA3538T0701557,Sold,"$16,666",Tuesday,June,6,1:41pm,24,https://bringatrailer.com/listing/1996-mazda-mx-5-miata-49/,"13,265",591,Blue Paint
Ex–12 Hours of Sebring 1962 Sunbeam Alpine Factory Race Car,No,No,1962,Sunbeam,Sunbeam Alpine,"",1960s,British,"Convertibles, Race Cars",90,stevenalcala (https://bringatrailer.com/member/stevenalcala/) ,Private Party,Green,,,59k,Miles,"El Segundo, California 90245",B91090080DLRX,Not Sold,"Bid to $51,000",Tuesday,June,6,12:20pm,19,https://bringatrailer.com/listing/1962-sunbeam-alpine-10/,"18,800","1,085","Green Paint, Black Vinyl Upholstery, Removable White Hardtop"
2003 Renault Clio V6 Trophy Race Car,No,No,2003,Renault,"","",2000s,French,Race Cars,32,usac7 (https://bringatrailer.com/member/usac7/) ,,Yellow,,,,,,,Not Sold,Bid to ,,,,,,https://bringatrailer.com/listing/2003-renault-clio-2/,,,Yellow Paint w/Renaultsport Graphics
BMW 3.5 CSL–Style Race Car,No,No,,BMW,BMW E9 Coupe,"",1970s,German,Race Cars,248,CSL-PTG-EVO (https://bringatrailer.com/member/csl-ptg-evo/) ,Private Party,Black,,mborda (https://bringatrailer.com/member/mborda/) ,,,"San Rafael, California 94903",2275994,Sold,"$360,000",Friday,June,2,11:32am,47,https://bringatrailer.com/listing/1975-bmw-3-5-csl/,"32,327","1,790",Black w/BMW Motorsport Stripes
Reynard 83SF,No,Yes,,Reynard,"","",1980s,British,Race Cars,47,Tango7 (https://bringatrailer.com/member/tango7/) ,Private Party,White,,james240z (https://bringatrailer.com/member/james240z/) ,,,"",83F-061,Sold,"$10,250",Thursday,June,1,3:27pm,11,https://bringatrailer.com/listing/reynard-83sf/,"7,980",445,Red & White Marlboro Livery
Dodge Avenger Cutaway IROC Race Car,No,No,,Dodge,"","",1990s,American,Race Cars,33,Hellcatman (https://bringatrailer.com/member/hellcatman/) ,Private Party,White,Black,Treichle (https://bringatrailer.com/member/treichle/) ,,,"Indianapolis, Indiana 46052",BP9311R-8,Sold,"$53,000",Thursday,June,1,3:24pm,39,https://bringatrailer.com/listing/dodge-avenger-cutaway-iroc-race-car/,"7,325",334,"Red & White Partial Bodywork, Black Racing Seat w/Simpson Harness"
Modified 1983 Renault R5 Turbo 2,No,No,1983,Renault,Renault R5 Turbo,"",1980s,French,Race Cars,92,cjmdeely (https://bringatrailer.com/member/cjmdeely/) ,Private Party,Blue,,jcf427435 (https://bringatrailer.com/member/jcf427435/) ,"3,500",Kilometers,"Chesapeake City, Maryland 21915",VF1822000D0000156,Sold,"$100,200",Thursday,June,1,11:48am,28,https://bringatrailer.com/listing/1982-renault-r5-turbo-2-maxi-5-replica/,"22,197","1,258",Blue & Red Phillips Livery
2006 Ferrari F430 Challenge Race Car,No,Yes,2006,Ferrari,Ferrari F430,"",2000s,Italian,Race Cars,74,switchcars (https://bringatrailer.com/member/switchcars/) ,Dealer,Yellow,,Vivian11 (https://bringatrailer.com/member/vivian11/) ,Unknown,Unknown,"Twinsburg, Ohio 44087",ZFFEX63X000146293,Sold,"$100,500",Wednesday,May,31,12:55pm,39,https://bringatrailer.com/listing/2006-ferrari-f430-challenge-race-car/,"14,801",976,Silver Paint w/Yellow Accents
Porsche 914–Powered Dirtrix DT2 Off-Road Race Car,No,No,,porsche,"","",1980s,"American, German",Race Cars,55,Buckshot1022 (https://bringatrailer.com/member/buckshot1022/) ,Private Party,Yellow,Black,slpcpa (https://bringatrailer.com/member/slpcpa/) ,Unknown,Unknown,"Santa Ysabel, California 92070",AZ351078,Sold,"$21,150",Wednesday,May,31,11:49am,15,https://bringatrailer.com/listing/dune-buggy/,"12,727",698,"White, Blue, Red, & Yellow Racing Livery, Blue & Black Racing Seats"
1965 Fiat Abarth 695 SS,No,No,1965,Fiat,Fiat 500,"",1960s,Italian,Race Cars,76,911r (https://bringatrailer.com/member/911r/) ,Dealer,White,Red,,136,Kilometers,"Scottsdale, Arizona 85255",0866463,Not Sold,"Bid to $29,000",Tuesday,May,30,2:30pm,36,https://bringatrailer.com/listing/1965-fiat-abarth-695ss/,"13,909",928,"White Paint, Red Vinyl Upholstery, Silver-Finished 12"" Wheels"
383-Powered 1972 Datsun 240Z 5-Speed,No,No,1972,Datsun,Datsun 240Z,"",1970s,Japanese,Race Cars,67,fyanrudger (https://bringatrailer.com/member/fyanrudger/) ,Private Party,Green,,mee418 (https://bringatrailer.com/member/mee418/) ,Unknown,Unknown,"San Diego, California 92119",HLS3099146,Sold,"$32,250",Monday,May,29,11:25am,21,https://bringatrailer.com/listing/1972-datsun-240z-267/,"32,700","1,534",Green Paint
2001 Porsche 911 Turbo Coupe 6-Speed Track Car,No,No,2001,Porsche,Porsche 996 Turbo,996996 turbo,2000s,German,Race Cars,45,bpllcc (https://bringatrailer.com/member/bpllcc/) ,Private Party,Silver,,,32k,Miles,"Arlington Heights, Illinois 60004",WP0AB29951S687476,Not Sold,"Bid to $28,100",Sunday,May,28,11:43am,30,https://bringatrailer.com/listing/2001-porsche-911-turbo-coupe-8/,"9,180",590,Arctic Silver Metallic Paint
2002 Ferrari 360 Modena Challenge Race Car,No,No,2002,Ferrari,Ferrari 360,"",2000s,Italian,Race Cars,59,Maseratiofseattle (https://bringatrailer.com/member/maseratiofseattle/) ,Dealer,Black,,,Unknown,Unknown,"Bellevue, Washington 98005",ZFFYR51B000126986,Not Sold,"Bid to $66,360",Friday,May,26,4:16pm,3,https://bringatrailer.com/listing/2002-ferrari-360-challenge/,"12,011",858,Black Paint
1987 Buick Grand National Drag Car,No,No,1987,Buick,Buick Grand National,"",1980s,American,Race Cars,43,Bulletmotorsportsinc (https://bringatrailer.com/member/bulletmotorsportsinc/) ,Dealer,Black,,,,,"Lauderhill, Florida 33312",1G4GJ1176HP418980,Not Sold,"Bid to $45,000",Friday,May,26,11:28am,8,https://bringatrailer.com/listing/1987-buick-grand-national-168/,"14,736",594,Black Paint
Coyote-Powered 2008 Ford Mustang FR500S Race Car,No,No,2008,Ford,Ford Mustang S197 2005-2014,"",2000s,American,Race Cars,41,Megachad (https://bringatrailer.com/member/megachad/) ,Dealer,Black,,everardo (https://bringatrailer.com/member/everardo/) ,Unknown,Unknown,"North Salt Lake, Utah 84054",FR500S062,Sold,"$39,500",Wednesday,May,24,1:24pm,48,https://bringatrailer.com/listing/2008-ford-mustang-fr500s/,"7,300",469,"Black Paint w/Sponsorship Decals, Kenny Brown Front K-Member"
1977 Osella Formula Ford 2000 Race Car,No,Yes,1977,Ford,"","",1970s,Italian,Race Cars,34,Clover2000 (https://bringatrailer.com/member/clover2000/) ,Private Party,White,,Wobbs (https://bringatrailer.com/member/wobbs/) ,Unknown,Unknown,"Oxnard, California 93035",006,Sold,"$12,600",Wednesday,May,24,12:11pm,42,https://bringatrailer.com/listing/1977-osella-formula-ford-2000-race-car/,"8,081",540,White Fiberglass Bodywork
